volMax pesoMax custo
299 337 13448
257 319 16263
344 282 13327
314 269 16387
389 300 13865
341 317 13555
368 313 13710
258 391 14865
389 306 16742
374 343 13659
287 290 13906
257 293 14747
339 392 16568
257 269 15124
329 325 16689
367 355 13634
395 272 16130
348 321 16173
316 362 14553
341 334 16207
280 369 14444
309 370 16181
383 278 14148
268 362 14509
251 375 15255
297 325 14484
260 324 16204
339 362 14685
287 331 16604
264 344 16460
354 319 13419
350 383 13603
257 255 14902
275 393 14727
310 291 16673
391 400 14384
322 267 13552
304 285 15368
264 329 16175
320 280 16054
284 272 13185
340 358 16639
346 263 15193
386 252 14497
277 259 14083
296 264 13529
272 395 14175
283 318 13435
336 395 15155
399 293 13516
353 266 14570
352 324 13973
315 334 16553
369 258 13066
334 326 14789
274 315 16495
390 397 13171
304 377 13397
380 292 14105
320 331 16615
346 398 13962
384 398 13408
338 310 14644
328 334 13518
397 298 14420
348 320 14850
386 324 15180
302 305 15281
264 275 15341
390 337 13689
399 317 15062
344 333 13734
304 296 14800
339 324 16140
395 311 16653
350 398 16966
356 286 14060
284 285 15780
281 343 15498
348 287 16151
252 337 15788
281 394 14246
379 391 14350
260 263 13114
373 266 15689
308 262 15638
334 298 16805
396 331 15627
326 386 14314
397 279 14630
298 290 14935
279 261 14977
280 340 13932
288 275 13212
344 294 16383
268 310 13622
345 341 15060
337 334 14992
321 343 16548
395 270 16307
267 268 16198
324 350 14063
363 266 14673
313 267 16260
399 344 14998
292 287 13510
305 328 14103
318 327 16906
331 260 13247
369 303 13173
353 296 13740
278 332 13460
375 268 13407
393 294 13193
352 369 13442
327 382 13517
327 369 15433
353 265 16959
292 274 16153
343 339 14721
389 377 14320
357 343 16381
322 259 16261
381 373 15559
340 281 16258
399 327 15829
311 262 13276
290 364 13957
336 398 15763
274 292 15013
284 260 16170
396 318 15243
319 252 15837
384 360 16874
389 341 15384
266 369 13668
371 367 13358
296 371 15803
370 308 14855
300 281 15141
341 335 15899
345 300 13569
373 253 15583
297 334 14732
341 345 14517
255 344 13724
348 387 13363
351 346 14857
277 300 16390
380 302 16731
314 353 13627
339 384 15044
306 389 13467
294 356 14347
275 393 13618
327 324 14218
400 253 15222
334 311 13575
376 375 16803
276 362 14737
307 314 13633
370 287 14750
258 387 15413
323 363 16900
335 295 16516
341 256 14861
304 275 13646
309 294 13689
326 304 16381
321 329 13841
394 340 14674
289 392 13803
299 274 15292
253 258 14502
272 390 16538
395 295 15022
389 256 14063
313 373 14429
259 281 14570
266 320 13357
253 383 13707
361 264 15776
398 356 15615
367 328 14787
263 278 16679
339 338 15448
398 381 14240
252 271 15361
266 350 15857
260 288 15886
262 368 14510
317 288 15581
353 376 13660
253 338 16301
345 379 16857
326 364 13674
308 373 15994
373 381 16926
273 280 16262
304 261 15463
380 381 16170
360 292 13674
302 314 13018
265 383 16333
355 351 15249
388 318 15587
323 300 13711
315 335 16795
316 281 15838
284 291 14631
397 283 16248
291 358 16071
366 250 13279
369 349 16033
279 280 15815
320 299 14794
301 339 14280
348 386 14377
298 310 16093
278 257 15182
276 275 15254
296 323 14836
340 299 16304
267 399 14559
270 250 14236
330 393 16979
313 295 16296
396 320 14513
315 376 13814
297 334 14807
359 289 14867
327 309 13333
349 354 15754
279 327 14846
285 368 16082
343 322 16439
282 301 14333
387 320 16799
388 358 16287
321 392 13725
371 382 16833
358 388 15917
288 274 14797
332 251 13077
353 346 16300
275 305 15040
339 297 15801
306 397 16636
315 398 14002
347 378 13049
301 370 16076
366 374 16705
396 395 16490
352 339 13339
266 251 15401
342 310 15430
311 347 14397
277 332 13119
347 291 13217
352 272 16913
360 251 16067
337 316 16603
361 259 13934
363 293 16298
355 273 14805
268 274 14400
354 288 14509
322 318 16938
388 370 14414
288 263 14268
374 354 15035
280 365 13375
358 356 14887
300 280 15849
327 385 14314
279 294 13288
335 276 15469
348 338 16976
253 300 14943
339 383 15011
355 270 15459
389 270 13358
250 395 14581
306 297 14740
368 387 16427
292 258 16186
345 331 15372
365 360 16600
281 305 15344
397 263 16276
301 320 16325
306 308 14157
377 311 14062
358 388 16289
273 320 14007
309 336 15800
375 319 14399
391 357 14119
333 259 15402
291 373 14158
306 264 16865
378 300 14208
380 257 13567
272 277 15277
388 289 13043
349 269 13489
273 392 16108
311 365 16643
362 305 16512
356 359 13613
335 355 15720
346 288 16591
323 355 15668
399 251 16217
253 317 14177
332 354 14170
320 285 14468
377 313 16528
322 365 16623
374 253 16445
295 353 14158
261 376 13019
295 284 13051
354 252 14360
379 326 15936
327 310 13721
284 326 14745
272 377 16973
391 361 16257
284 276 16526
314 264 15074
323 380 15254
353 352 16082
293 290 16707
396 358 16324
292 265 13610
272 252 15946
315 280 16641
307 322 16219
290 385 13907
259 312 14173
313 283 16131
341 252 13449
316 262 16210
280 287 13051
324 289 15274
389 321 16925
358 303 14905
305 341 13522
366 285 14914
282 358 15631
313 260 15991
316 255 13329
372 335 16381
265 333 14528
274 273 14183
308 278 13326
310 299 13113
321 303 13600
271 322 14838
389 400 13979
358 265 16880
361 386 15812
327 271 15930
321 313 13003
367 392 15734
303 370 13339
390 285 14523
281 302 14405
334 324 13841
274 300 13624
367 319 15639
388 381 16986
335 329 13018
372 256 14759
299 271 16876
288 289 14673
289 277 16160
250 388 15816
285 254 16443
310 262 14281
265 267 13211
354 335 15230
343 320 13949
316 361 16747
348 342 15168
266 268 15578
287 282 14837
341 362 13377
322 278 14278
355 303 13417
387 347 13145
359 277 16095
296 333 15938
349 352 15598
348 329 13197
387 334 15316
280 324 13616
329 333 15485
378 259 14055
389 332 16633
262 335 15131
288 250 13273
375 325 13701
284 362 14504
335 269 13690
269 354 14151
253 396 15283
266 270 13002
287 346 14003
298 295 14582
303 357 14070
397 269 16941
334 353 13448
259 344 14325
382 339 14722
271 255 16187
286 373 16651
322 286 15276
293 383 14840
278 379 15295
322 323 16427
398 399 13317
307 292 14296
297 269 15775
256 272 15200
272 291 13626
265 270 15861
352 369 13244
263 257 13041
290 305 16944
284 374 14691
272 369 16247
285 333 16045
278 344 16571
285 302 13269
316 317 15787
323 336 16877
368 256 15924
350 385 13055
287 273 16394
338 397 16671
360 372 13403
285 351 14863
259 344 17000
325 339 13250
363 309 16658
259 338 14122
312 260 16828
303 334 14354
268 382 14874
333 269 13261
302 346 16270
373 365 14370
355 388 13052
387 265 14376
355 338 13312
268 253 13661
395 282 15067
399 309 16308
251 276 14042
347 369 13813
345 372 15771
340 339 16607
363 277 13987
305 265 15341
292 250 14133
357 342 16826
332 363 16435
259 309 13467
293 296 16247
373 256 16745
279 328 16121
334 267 14287
383 293 16917
391 319 15968
272 377 16702
392 328 14600
318 327 14800
317 307 15168
272 383 14010
392 364 15304
363 351 13595
281 280 15238
376 339 16796
332 339 15277
323 391 14931
283 343 14403
385 280 16688
387 378 15058
343 350 16782
299 398 16440
350 281 16464
356 387 15135
397 342 13338
396 275 14626
350 359 14277
251 306 15554
345 340 13791
383 278 13881
258 384 16316
352 278 13189
312 383 13843
312 297 14592
323 300 15346
341 324 16199
278 284 14210
316 387 13355
287 321 13594
334 282 14122
271 367 16441
356 357 16287
293 316 14203
267 377 14504
379 387 16639
298 345 14455
391 345 16871
307 338 16956
293 252 16374
326 266 13081
399 329 13000
388 375 16622
315 316 13607
253 385 13742
389 366 14567
368 349 13530
387 347 15090
356 276 15541
374 299 15147
376 261 16916
268 329 13349
289 285 13536
251 320 13078
308 338 16413
288 296 13792
374 304 13488
357 341 13111
297 259 13247
378 368 13867
343 273 16509
390 341 15967
355 310 16038
266 272 15821
389 256 13596
368 340 14795
269 371 15699
357 329 16135
383 284 16387
318 261 14277
354 303 16812
296 290 14114
293 347 13287
259 254 15519
374 354 14048
324 255 16835
390 306 13492
340 274 13154
255 295 16159
302 390 14344
339 398 16795
283 370 15067
355 320 15440
311 332 13548
292 283 16679
398 328 15877
382 283 14340
271 291 14764
370 350 13051
321 288 15387
316 300 14535
377 364 15407
288 337 14500
288 362 14654
299 382 14448
383 358 16775
340 353 14623
346 269 16300
310 270 13648
303 268 14190
365 263 13337
359 347 15059
327 338 14890
256 397 15241
334 261 14062
287 262 16632
319 354 15566
350 338 14966
368 396 15797
258 263 15574
292 269 16823
322 351 14973
376 365 13515
378 380 15633
337 297 14357
389 263 13097
293 380 13507
263 319 16408
327 368 14338
358 345 15505
327 316 14789
314 265 16783
384 301 16384
390 345 14798
255 379 16189
379 369 16756
267 318 16571
294 366 16732
343 350 14860
381 357 14154
323 382 14333
343 394 14884
366 338 13397
345 321 15807
330 396 14075
288 333 14157
353 255 13658
355 396 16411
371 346 16627
342 382 13719
281 325 14268
273 348 13434
399 322 15398
365 280 14441
254 321 15283
365 274 15084
344 387 15158
386 287 15925
330 279 14007
395 269 14632
296 397 13089
385 310 14833
333 360 13897
285 382 15033
359 344 14131
347 327 15505
334 395 15742
383 258 14391
302 397 13226
319 358 13953
294 377 15693
332 387 14920
270 340 16474
267 390 13988
340 307 13208
338 266 16612
262 285 16651
250 340 15619
317 388 14496
341 379 13295
250 379 14178
364 304 16028
366 257 15631
299 304 15370
294 356 15164
394 253 15048
275 376 14325
255 281 13823
271 264 15310
302 363 14410
272 324 14994
366 365 14775
389 334 14676
381 360 14682
385 298 16020
341 281 16319
275 294 13576
299 279 15927
301 269 16638
400 288 16709
398 297 13109
364 271 15537
299 376 14471
362 284 15322
281 309 13046
289 343 13249
376 310 17000
325 322 14592
273 270 15737
345 380 13214
254 388 14405
278 376 16646
301 279 16389
297 272 16514
389 253 16115
325 272 15038
398 281 14236
264 370 13447
353 306 13318
364 319 13657
340 285 13020
255 400 15667
280 303 13071
284 253 16365
353 295 16300
267 393 16299
391 369 13451
291 348 15662
338 394 14776
262 264 15676
366 384 14902
311 329 14635
346 309 14797
380 367 13411
